# account,total,base,early,referral,loyalty,guaranteed
1397R5TJM2mfeLcueoWc8ZsZdPapDJp5naCRMK3kBZ3qZevc,1562.5,1250.0,250.0,62.5,0,0
15aySJqgE44WeS9GnfZ1Dns7LpjQFB9R9SbiBVYdeCPyN1nF,46.875,37.5,7.5,1.875,0,0
13NYD1m1EPgZGuT3UayY8rNoumrepyP8Cp63gLB7f7spUPZg,1625.0,1250.0,250.0,125.0,0,0
13VQNa17yEaCwThkSZkhHNdCDz9DoDjo4vETx6uUwFa4m148,312.5,250.0,50.0,12.5,0,0
1YvYe7yP5SbPCToKYCfX2nBAta29XytYrUxMx31665z2sEF,1200.0,1000.0,200.0,0,0,0
143e5k4pSbp8x4TWje3DvKmiehJicj23QeWAtLd32N91ifRo,31.25,25.0,5.0,1.25,0,0
16MfNGBxJetj7k4sbePCknMqVWNFxVghhyqJYKxKKj7sQwCZ,32.75,25.0,5.0,1.25,1.5,0
13NHCXWJoQwTqgSA3T9WHuDAVBgStKVot4XupxiQmn2HVfAM,31.25,25.0,5.0,1.25,0,0
15BTmxPbNDaraQuVUM5Q9GtNiXzZe7UHigLRi8wNDkuubdoP,468.75,375.0,75.0,18.75,0,0
12Ewwe3jAtA5s83TSvax5brTStLX9vvqTc1KKsSYFA8QAeoD,34.375,27.5,5.5,1.375,0,0
12vEhTCp6eBqFSBdx5PDsNseQV7Cwiovzg61KE4im7PH68VB,125.0,100.0,20.0,5.0,0,0
13RBPXSFqRZqzc3EX7hEroTx5cUHTvr1Q2stmC6S9zuZg8wz,90.0,75.0,15.0,0,0,0
1uiLAKAH9t3DAruwgcK2tWrXX6XEfNskz2j4L3B1vSCLmgG,465.0,387.5,77.5,0,0,0
14fqZsueySeNa8WAsSdryus2a5jQ7DCKuHcFTH9TyKQvAQnt,15.0,12.5,2.5,0,0,0
14W2ES9odcXtJ4HqZCFcrof3FkzYDs7mbt38BPpGcoPfYsmx,81.0,67.5,13.5,0,0,0
15fVQ3mGUcRUiPAE8KAYCUMqJHe5PRzxuxoCnRrFhQWn4HnZ,31.25,25.0,5.0,1.25,0,0
15BL1Lw1HwdepxeSQ2Q8R1SXsxz6qRkLbASnHYCvFC3zbNXA,62.5,50.0,10.0,2.5,0,0
12YeQjCXcRPW92D9FL6rUJ5RPxY7GB5xom95QiSV24bw3DG8,187.5,150.0,30.0,7.5,0,0
1LE3LBkifSqDauavkRQih1KdYtfd3VjZKaRc4KhvwqMduaN,31.25,25.0,5.0,1.25,0,0
12zvTh7H3aw8oXUDQURS717guVsjiFV1wyFfri6FNf3KeYNr,15.0,12.5,2.5,0,0,0
14Pt7tnUbccvFvX3ko1iQVjbZWWvBubj7HuuLaQ6ikgZ8pJK,30.0,25.0,5.0,0,0,0
15TGpf4HyF2L4ixCmLw6wv2dGfPy35JwMYk7mv3qgaL55C3c,15.625,12.5,2.5,0.625,0,0
1NHBdd9PNca7hf35oUvKBS1juRrUppkHvXJMNqhPoAuXWWV,30.0,25.0,5.0,0,0,0
1USPpVeXyAdeARnGZrVzpUo97HCazFdzB3kg6fMqaddft19,225.0,187.5,37.5,0,0,0
14opexi6tptqHjXNzsoRcX3DBw2LUTCUb7VBeGfa33myj6qT,150.0,125.0,25.0,0,0,0
1hAhzD4A6qT9csqNceG4zK5QczBc7GpCLaiVNZaJuPjs3dc,93.75,75.0,15.0,3.75,0,0
15SSpYSjuh2GEcp8mXVCCFWRA7KAmVrxDjzDYFUiViTVBRbZ,156.25,125.0,25.0,6.25,0,0
